,user,id,lang,source,favorite_count,retweet_count,created_at
65,realmadrid,1648370808107184128,es,Twitter Media Studio,5618,576,2023-04-18 17:00:00+00:00
66,realmadrid,1648363947530018817,es,TweetDeck,33160,4044,2023-04-18 16:32:44+00:00
67,realmadrid,1648351933193928704,es,Twitter Web App,13912,777,2023-04-18 15:45:00+00:00
68,realmadrid,1648348160413298688,es,Twitter Media Studio,3135,273,2023-04-18 15:30:00+00:00
69,realmadrid,1648333058037219331,es,Twitter Media Studio,8261,749,2023-04-18 14:30:00+00:00
70,realmadrid,1648325513193332738,es,Twitter Media Studio,8063,610,2023-04-18 14:00:01+00:00
71,realmadrid,1648317961390923777,es,TweetDeck,10988,622,2023-04-18 13:30:00+00:00
72,realmadrid,1648310416706084865,es,TweetDeck,27165,2038,2023-04-18 13:00:02+00:00
73,realmadrid,1648302862785708034,es,Twitter Media Studio,3491,216,2023-04-18 12:30:01+00:00
74,realmadrid,1648295311117549568,es,TweetDeck,10112,561,2023-04-18 12:00:00+00:00
75,realmadrid,1648287763182256128,es,TweetDeck,4274,284,2023-04-18 11:30:01+00:00
76,realmadrid,1648282482905698305,es,Twitter for Advertisers,6305,393,2023-04-18 11:09:02+00:00
77,realmadrid,1648280214303285248,qme,TweetDeck,9371,359,2023-04-18 11:00:01+00:00
78,realmadrid,1648265116855709701,es,Twitter Media Studio,4935,258,2023-04-18 10:00:01+00:00
79,realmadrid,1648253785503055872,es,Twitter for Advertisers,4059,249,2023-04-18 09:15:00+00:00
80,realmadrid,1648250013733011457,es,Twitter Media Studio,5541,428,2023-04-18 09:00:00+00:00
81,realmadrid,1648235163586015232,es,Twitter Media Studio,6189,333,2023-04-18 08:01:00+00:00
82,realmadrid,1648224480773251074,ca,TweetDeck,28332,2704,2023-04-18 07:18:33+00:00
83,realmadrid,1648080141359394816,und,Twitter Media Studio,10779,496,2023-04-17 21:45:00+00:00
84,realmadrid,1648069086562369538,qme,Twitter Media Studio,20291,1126,2023-04-17 21:01:04+00:00
85,realmadrid,1648062510199721990,zxx,Twitter Media Studio,420027,116419,2023-04-17 20:34:56+00:00
86,realmadrid,1648061267112874033,und,Twitter Media Studio,20097,534,2023-04-17 20:30:00+00:00
87,realmadrid,1648049942295117824,qme,Twitter Media Studio,8905,374,2023-04-17 19:45:00+00:00
88,realmadrid,1648041814639939586,qme,Twitter Media Studio,14347,614,2023-04-17 19:12:42+00:00
89,realmadrid,1648027293162561536,es,TweetDeck,6316,322,2023-04-17 18:15:00+00:00
90,realmadrid,1648026034699390976,es,TweetDeck,9984,468,2023-04-17 18:10:00+00:00
91,realmadrid,1648023931675381760,es,Twitter Media Studio,3093,191,2023-04-17 18:01:38+00:00
92,realmadrid,1648011032613232667,es,Twitter Media Studio,2355,206,2023-04-17 17:10:23+00:00
93,realmadrid,1647997094492508162,es,Twitter Media Studio,6530,374,2023-04-17 16:15:00+00:00
94,realmadrid,1647978222682877952,es,TweetDeck,7915,398,2023-04-17 15:00:00+00:00
95,realmadrid,1647963139839852552,es,TweetDeck,4467,214,2023-04-17 14:00:04+00:00
96,realmadrid,1647948026063863809,es,TweetDeck,7144,440,2023-04-17 13:00:01+00:00
97,realmadrid,1647943035676766209,qme,TweetDeck,18151,759,2023-04-17 12:40:11+00:00
98,realmadrid,1647941558040240130,es,Twitter Web App,12906,741,2023-04-17 12:34:19+00:00
99,realmadrid,1647938810578186240,qme,TweetDeck,5934,326,2023-04-17 12:23:24+00:00
100,realmadrid,1647938009134661633,it,TweetDeck,14432,681,2023-04-17 12:20:13+00:00
101,realmadrid,1647934456114585601,es,Twitter Media Studio,13852,934,2023-04-17 12:06:06+00:00
102,realmadrid,1647933477419986947,es,TweetDeck,15082,744,2023-04-17 12:02:12+00:00
103,realmadrid,1647921115300241410,qme,Twitter Web App,2014,107,2023-04-17 11:13:05+00:00
104,realmadrid,1647917339403329536,qme,TweetDeck,19790,668,2023-04-17 10:58:05+00:00
105,realmadrid,1647902259169067008,es,TweetDeck,14802,831,2023-04-17 09:58:09+00:00
106,realmadrid,1647902057590931457,fr,TweetDeck,30896,1290,2023-04-17 09:57:21+00:00
107,realmadrid,1647901318357344258,es,TweetDeck,4879,299,2023-04-17 09:54:25+00:00
108,realmadrid,1647899546859577346,es,Twitter Media Studio,6276,346,2023-04-17 09:47:23+00:00
109,realmadrid,1647898074444906496,pt,Twitter Media Studio,6741,455,2023-04-17 09:41:32+00:00
110,realmadrid,1647885311668543488,qme,TweetDeck,5851,308,2023-04-17 08:50:49+00:00
111,realmadrid,1647877818934603776,es,TweetDeck,9985,949,2023-04-17 08:21:02+00:00
112,realmadrid,1647865959489630208,es,TweetDeck,20852,727,2023-04-17 07:33:55+00:00
113,realmadrid,1647849873985921026,es,TweetDeck,10029,392,2023-04-17 06:30:00+00:00
114,realmadrid,1647691333333811200,es,Twitter Media Studio,12541,986,2023-04-16 20:00:01+00:00
115,realmadrid,1647661132495171592,es,TweetDeck,3821,256,2023-04-16 18:00:00+00:00
116,realmadrid,1647646033881763841,es,Twitter Media Studio,5307,289,2023-04-16 17:00:00+00:00
117,realmadrid,1647639020623593472,es,TweetDeck,2702,122,2023-04-16 16:32:08+00:00
118,realmadrid,1647630934873628674,qme,Twitter Media Studio,8665,326,2023-04-16 16:00:01+00:00
119,realmadrid,1647623383704543233,es,Twitter Media Studio,6896,424,2023-04-16 15:30:00+00:00
120,realmadrid,1647615834573926402,es,TweetDeck,14971,665,2023-04-16 15:00:00+00:00
121,realmadrid,1647600741211688961,qme,Twitter Media Studio,11032,424,2023-04-16 14:00:02+00:00
122,realmadrid,1647585642417668097,es,Twitter Media Studio,7997,737,2023-04-16 13:00:02+00:00
123,realmadrid,1647570543548178434,qme,Twitter Media Studio,7098,229,2023-04-16 12:00:02+00:00
124,realmadrid,1647555440169943041,qme,Twitter Media Studio,5064,269,2023-04-16 11:00:01+00:00
125,realmadrid,1647540337424859137,es,TweetDeck,11459,391,2023-04-16 10:00:00+00:00
126,realmadrid,1647525241734991872,es,Twitter Media Studio,15665,1771,2023-04-16 09:00:01+00:00
127,realmadrid,1647504581608497154,qme,Twitter Media Studio,12209,435,2023-04-16 07:37:56+00:00
128,realmadrid,1647479939527221248,es,TweetDeck,6963,373,2023-04-16 06:00:00+00:00
129,realmadrid,1647361657201659906,es,TweetDeck,8360,319,2023-04-15 22:10:00+00:00
130,realmadrid,1647359601803763714,qme,TweetDeck,35840,1040,2023-04-15 22:01:50+00:00
131,realmadrid,1647356623965540352,es,Twitter Media Studio,3661,227,2023-04-15 21:50:00+00:00
132,realmadrid,1647354107349594112,es,TweetDeck,5787,347,2023-04-15 21:40:00+00:00
133,realmadrid,1647353581064843275,en,TweetDeck,9833,468,2023-04-15 21:37:54+00:00
